,0
1228,FCN/USD
1229,FCT/BTC
1230,FCT/USD
1231,FC/USD
1232,FDZ/BTC
1233,FDZ/ETH
1234,FDZ/USD
1235,FET/BNB
1236,FET/BTC
1237,FET/BTC
1238,FET/ETH
1239,FET/USD
1240,FET/USD
1241,FFC/USD
1242,FIDYO/USD
1243,FIDYO/WAVES
1244,FIL/USD
1245,FIO/BNB
1246,FIO/BTC
1247,FIO/USD
1248,FIRE/BTC
1249,FIRE/USD
1250,FJC/USD
1251,FLASH/BTC
1252,FLASH/USD
1253,FLAX/USD
1254,FLDC/BTC
1255,FLDC/USD
1256,FLIK/USD
1257,FLIXX/ETH
1258,FLIXX/USD
1259,FLM/USD
1260,FLO/BTC
1261,FLO/USD
1262,FLUZ/USD
1263,FLVR/USD
1264,FLY/BTC
1265,FLY/USD
1266,FNC/BTC
1267,FNC/USD
1268,FNKOS/ETH
1269,FNKOS/USD
1270,FNTB/BTC
1271,FNTB/USD
1272,FOIN/BTC
1273,FOIN/USD
1274,FONZ/USD
1275,FOR/USD
1276,FOTA/BTC
1277,FOTA/USD
1278,FRC/BTC
1279,FRC/USD
1280,FRD/USD
1281,FRK/BTC
1282,FRK/USD
1283,FRN/BTC
1284,FRN/USD
1285,FRST/BTC
1286,FRST/ETH
1287,FRST/USD
1288,FRWC/USD
1289,FSN/BNB
1290,FSN/BTC
1291,FSN/USD
1292,FST/USD
1293,FTC/BTC
1294,FTC/USD
1295,FTM/BNB
1296,FTM/BTC
1297,FTM/ETH
1298,FTM/USD
1299,FTO/BTC
1300,FTO/DOGE
1301,FTO/ETH
1302,FTOKEN/BTC
1303,FTOKEN/USD
1304,FTO/RUB
1305,FTO/USD
1306,FTO/WAVES
1307,FTT/BTC
1308,FTT/USD
1309,FT/USD
1310,FUCK/USD
1311,FUEL/ETH
1312,FUEL/USD
1313,FUN/BTC
1314,FUN/ETH
1315,FUNK/USD
1316,FUN/TRY
1317,FUN/USD
1318,FUZZ/BTC
1319,FUZZ/USD
1320,FX/BTC
1321,FXC/ETH
1322,FXC/USD
1323,FX/ETH
1324,FXT/ETH
1325,FXT/USD
1326,FX/USD
1327,FYP/BTC
1328,FYP/USD
1329,GAIN/USD
1330,GAME/BTC
1331,GAME/EUR
1332,GAME/PLN
1333,GAME/USD
1334,GAM/USD
1335,GAP/USD
1336,GAS/BTC
1337,GAS/ETH
1338,GAS/NEO
1339,GAS/USD
1340,GB/BTC
1341,GBT/USD
1342,GB/USD
1343,GBX/USD
1344,GBYTE/BTC
1345,GBYTE/USD
1346,GCC/USD
1347,GCN/DOGE
1348,GCN/USD
1349,GCR/BTC
1350,GCR/USD
1351,GEERT/USD
1352,GEN/ETH
1353,GEN/USD
1354,GEO/BTC
1355,GEO/USD
1356,GIM/USD
1357,GIN/ETH
1358,GIN/USD
1359,GLCn/BTC
1360,GLCn/USD
1361,GLS/USD
1362,GLT/BTC
1363,GLT/USD
1364,GML/BTC
1365,GML/USD
1366,GMT/USD
1367,GMX/USD
1368,GNO/BTC
1369,GNO/ETH
1370,GNO/EUR
1371,GNO/USD
1372,GNT/AUD
1373,GNT/BTC
